AREA,LDP,Index flood,,,,,,,,,-1.801945807,0.244052892,66.20979241
57.5,19.06,30.935,,,,,,,,,,,
23.33,11.77,3.361,,,,,,,,,,,
78.1,25.04,6.582,,,,,,,,,,,
885.11,90.17,45.1455,,,,,,,,,,,
135.29,35.22,48.737,,,,,,,,,,,
27.58,9.26,6.759,,,,,,,,,,,
100.33,27.2,63.715004,,,,,,,,,,,
401.59,41.13,101.336,,,,,,,,,,,
608.13,77.1,169.462,,,,,,,,,,,
664.23,74.99,230.045,,,,,,,,,,,
1008.94,70.89,145.5,,,,,,,,,,,
65.59,20.68,53.748,,,,,,,,,,,
20.17,10.07,0.406,,,,,,,,,,,
44.59,19.89,16.005,,,,,,,,,,,
27.18,9.88,50.404,,,,,,,,,,,
212.19,33.58,148.543,,,,,,,,,,,
263.01,42.97,163.293,,,,,,,,,,,
155.39,37.34,40.298,,,,,,,,,,,
687.29,58.42,117.477,,,,,,,,,,,
60.24,17.39,7.3114996,,,,,,,,,,,
42.1,14.72,9.52,,,,,,,,,,,
167.21,38.71,100.777,,,,,,,,,,,
34.76,15.03,9.523,,,,,,,,,,,
235.9,46.2,12.016,,,,,,,,,,,
126.98,17.94,12.4,,,,,,,,,,,
2645.6,146.99,420.9705,,,,,,,,,,,
149.89,36.33,49.783,,,,,,,,,,,
66.84,23.39,83.631,,,,,,,,,,,
43.99,13.07,20.046,,,,,,,,,,,
1894.26,157.79,387.97552,,,,,,,,,,,
414.4,54.9,21.9,,,,,,,,,,,
105.29,27.17,57.872,,,,,,,,,,,
77.57,34.38,3.4775,,,,,,,,,,,
288.53,39.74,104.8665,,,,,,,,,,,
335.39,38.11,195.072,,,,,,,,,,,
474.08,56.85,140.62851,,,,,,,,,,,
101.64,17.71,64.99451,,,,,,,,,,,
697.46,62.86,300.532,,,,,,,,,,,
387.74,40.11,21.8,,,,,,,,,,,
30.36,11.52,13.505,,,,,,,,,,,
121.64,29.19,63.4845,,,,,,,,,,,
95.57,18.51,63.975,,,,,,,,,,,
574.66,61.86,191.494,,,,,,,,,,,
85.83,18.26,3.616,,,,,,,,,,,
517.56,76.12,135.8425,,,,,,,,,,,
74.34,21.67,1.314,,,,,,,,,,,
147.47,41.66,3.679,,,,,,,,,,,
6.52,4.69,6.25,,,,,,,,,,,
36.97,16.5,26.395,,,,,,,,,,,
248.21,34.68,10.450001,,,,,,,,,,,
634.78,77.29,82.895004,,,,,,,,,,,
363.76,52.95,85.687,,,,,,,,,,,
57.67,21,13.053,,,,,,,,,,,
128.42,21.41,5.156,,,,,,,,,,,
158.22,26.5,66.094,,,,,,,,,,,
19.39,12.51,10.7745,,,,,,,,,,,
1459.55,95.25,46.46,,,,,,,,,,,
847.7,85.6,375.695,,,,,,,,,,,
27.75,10.61,10.268,,,,,,,,,,,
183.49,29.02,52.66,,,,,,,,,,,
216.48,38.77,61.3665,,,,,,,,,,,
105.31,14.3,198.528,,,,,,,,,,,
102.89,22.39,31.67,,,,,,,,,,,
313.59,46.35,106.918,,,,,,,,,,,
964.93,76.19,118.6595,,,,,,,,,,,
109.57,21.45,13.349501,,,,,,,,,,,
219.21,35.65,266.95398,,,,,,,,,,,
138.63,29.9,80.978,,,,,,,,,,,
382.69,48.1,76.128,,,,,,,,,,,
48.51,15.65,4.386,,,,,,,,,,,
397.92,49.02,309.038,,,,,,,,,,,
81.6,27.08,8.4805,,,,,,,,,,,
355.07,40.55,150.8005,,,,,,,,,,,
9.85,4.66,4.262,,,,,,,,,,,
52.85,21.42,11.084,,,,,,,,,,,
578.21,82.28,139.673,,,,,,,,,,,
199.42,41.8,16.6035,,,,,,,,,,,
33.76,13.3,6.109,,,,,,,,,,,
272.2,44.15,94.4505,,,,,,,,,,,
510.9,60.56,238.2135,,,,,,,,,,,
117.12,27.82,90.532,,,,,,,,,,,
152.4,26.72,16.5275,,,,,,,,,,,
236.84,31.8,190.699,,,,,,,,,,,
155.76,28.83,70.779,,,,,,,,,,,
196.18,37.33,5.073,,,,,,,,,,,
1012.97,66.25,367.601,,,,,,,,,,,
417.01,55.23,38.588,,,,,,,,,,,
559.72,79.18,18.561,,,,,,,,,,,
50.04,12.76,2.8575,,,,,,,,,,,
183,31.76,85.8535,,,,,,,,,,,
185.66,30.64,72.44,,,,,,,,,,,
43.43,15.9,53.942,,,,,,,,,,,
319.94,37.07,106.756,,,,,,,,,,,
552.57,56.43,169.057,,,,,,,,,,,
118.05,28.03,21.405,,,,,,,,,,,
11.76,7.41,1.234,,,,,,,,,,,
20.38,12.14,7.7565002,,,,,,,,,,,
198.07,32.69,111.322,,,,,,,,,,,
125.92,28.39,26.7795,,,,,,,,,,,
92.61,22.2,17.979,,,,,,,,,,,
883.12,87.48,119.094,,,,,,,,,,,
203.65,40.88,43.723,,,,,,,,,,,
77.73,25.81,16.774,,,,,,,,,,,
194.15,44.61,43.54,,,,,,,,,,,
1283.4,84.45,529.327,,,,,,,,,,,
89.42,23.5,101.89,,,,,,,,,,,
148.7,33.49,15.362,,,,,,,,,,,
307.14,43.22,57.803,,,,,,,,,,,
140.38,40,13.836,,,,,,,,,,,
938.48,85.17,247.7385,,,,,,,,,,,
133.52,37.06,36.8565,,,,,,,,,,,
188.05,34.67,10.653,,,,,,,,,,,
117.35,28.01,27.434,,,,,,,,,,,
15.85,7.33,0.142,,,,,,,,,,,
801.65,66.98,62.661,,,,,,,,,,,
139.27,33.73,71.038,,,,,,,,,,,
78.54,17.99,53.15,,,,,,,,,,,
32.34,10.6,12.811,,,,,,,,,,,
109.39,28.24,69.8325,,,,,,,,,,,
149.24,23.62,59.096,,,,,,,,,,,
322.97,35.83,237.306,,,,,,,,,,,
1149.07,89.04,354.832,,,,,,,,,,,
74.13,17.37,25.0555,,,,,,,,,,,
55.72,13.54,3.084,,,,,,,,,,,
455.1,50.31,201.807,,,,,,,,,,,
134.5,23,27.875,,,,,,,,,,,
25.62,10.77,3.661,,,,,,,,,,,
59.98,14.24,26.132,,,,,,,,,,,
16.05,8.95,0.459,,,,,,,,,,,
148.28,32.6,19.550499,,,,,,,,,,,
62.9,14.16,3.601,,,,,,,,,,,
99.67,19.83,21.602001,,,,,,,,,,,
173.41,23.41,117.7115,,,,,,,,,,,
1037.36,90.42,38.394,,,,,,,,,,,
63.26,23.03,36.5695,,,,,,,,,,,
33.97,12.97,34.576,,,,,,,,,,,
263.74,40.53,57.007,,,,,,,,,,,
326.55,48.34,11.106,,,,,,,,,,,
1260.92,88.07,165.854,,,,,,,,,,,
50.13,14.39,5.8805,,,,,,,,,,,
58.81,13.34,64.633,,,,,,,,,,,
31.84,9.94,43.18,,,,,,,,,,,
12.06,6.32,0.861,,,,,,,,,,,
502.73,54.52,241.075,,,,,,,,,,,
130.45,26.97,38.989502,,,,,,,,,,,
345.2,48.82,134.5495,,,,,,,,,,,
367.59,52.64,200.4925,,,,,,,,,,,
397.97,53.62,87.253,,,,,,,,,,,
445.22,61.92,267.21,,,,,,,,,,,
920.16,74.06,263.276,,,,,,,,,,,
377.16,42.63,123.485504,,,,,,,,,,,
407.17,42.2,179.0455,,,,,,,,,,,
1844.19,78.34,574.8425,,,,,,,,,,,
3211.11,117.3,839.283,,,,,,,,,,,
164.46,36.96,114.109,,,,,,,,,,,
291.9,28.76,180.223,,,,,,,,,,,
64.57,19.24,60.718,,,,,,,,,,,
708,79.98,37.004,,,,,,,,,,,
258.42,42.19,100.477,,,,,,,,,,,
74.22,15.32,11.4345,,,,,,,,,,,
219.24,39.75,117.687,,,,,,,,,,,
136.69,30.29,11.798,,,,,,,,,,,
415.59,50.96,248.084,,,,,,,,,,,
749.9,60.11,469.699,,,,,,,,,,,
56.18,21.65,-999,,,,,,,,,,,
120.54,30.76,20.461,,,,,,,,,,,
84.62,25.06,9.631,,,,,,,,,,,
283.47,38.62,67.482,,,,,,,,,,,
54.47,19.53,36.683,,,,,,,,,,,
571.36,79.29,27.452,,,,,,,,,,,
305.19,34.55,36.405,,,,,,,,,,,
28.99,14.2,15.934,,,,,,,,,,,
170.94,33.33,48.522,,,,,,,,,,,
48.51,17.72,1.129,,,,,,,,,,,
25.26,12.54,9.565,,,,,,,,,,,
74.95,16.74,7.126,,,,,,,,,,,
53.51,12.35,1.076,,,,,,,,,,,
181.9,28.01,81.849,,,,,,,,,,,
92.96,29.76,29.826,,,,,,,,,,,
2026.73,121.61,285.066,,,,,,,,,,,
111.18,21.23,96.308,,,,,,,,,,,
497.61,60.77,335.6595,,,,,,,,,,,
618.21,62.7,248.095,,,,,,,,,,,
182.4,29.92,31.6225,,,,,,,,,,,
258.14,42.42,225.574,,,,,,,,,,,
202.93,34.67,61.86,,,,,,,,,,,
304.96,58.04,95.83,,,,,,,,,,,
184.74,24.81,159.2635,,,,,,,,,,,
102.42,18.95,15.227,,,,,,,,,,,
21.87,16.21,14.563499,,,,,,,,,,,
132.96,26.36,12.919,,,,,,,,,,,
209.94,33.98,70.447,,,,,,,,,,,
4586.97,130.42,992.846,,,,,,,,,,,
243.54,32.46,59.699,,,,,,,,,,,
204.71,33.39,36.558,,,,,,,,,,,
98.48,22.53,147.55551,,,,,,,,,,,
1569.29,94.38,167.223,,,,,,,,,,,
427.14,62.55,25.7,,,,,,,,,,,
193.51,37.58,11.2225,,,,,,,,,,,
240.98,35.19,78.168,,,,,,,,,,,
